"","tf","es","lens","pvals","z","qvals"
"MCM2","MCM2",0.521945667723409,11,0.3914,0.311678981692835,0.550793665158371
"MCM5","MCM5",0.52370267623614,10,0.3965,0.30014842416958,0.555079464285714
"POU2F1","POU2F1",0.418703132729226,122,0.3991,0.250781798198688,0.555079464285714
"MCM6","MCM6",0.523164155098633,10,0.3998,0.301028298558937,0.555079464285714
"MCM4","MCM4",0.523654181556044,10,0.4063,0.299253859455471,0.560622026431718
"RBMX","RBMX",0.536100525768943,8,0.4078,0.32258991024581,0.560622026431718
"STAT4","STAT4",0.454694541233244,34,0.4092,0.250096400875103,0.560622026431718
"MCM3","MCM3",0.522204706414197,9,0.4209,0.272385080012018,0.561394871794872
"MCM7","MCM7",0.522204706414197,9,0.4209,0.272385080012018,0.561394871794872
"SOS1","SOS1",0.510172053083469,11,0.421,0.268442753367607,0.561394871794872
"SOS2","SOS2",0.510172053083469,11,0.421,0.268442753367607,0.561394871794872
"KLF5","KLF5",0.476748230847686,20,0.4219,0.225101492617919,0.561394871794872
"RXRB","RXRB",0.436331930769116,55,0.4224,0.209666900499392,0.561394871794872
"RXRG","RXRG",0.436331930769116,55,0.4224,0.209666900499392,0.561394871794872
"SOX9","SOX9",0.465240058973466,24,0.4258,0.204723324041354,0.563505531914894
"RARB","RARB",0.434914444404105,53,0.4316,0.183275103685499,0.566623628691983
"MYBL2","MYBL2",0.527484736563096,8,0.4318,0.274799890359839,0.566623628691983
"ARNTL","ARNTL",0.493844982757276,13,0.4345,0.212317783995813,0.567771008403361
"HDAC7","HDAC7",0.493598233651495,13,0.4394,0.211974497553512,0.571771548117155
"TBX21","TBX21",0.485017706121729,15,0.4439,0.183160393740775,0.575220416666667
"IRF3","IRF3",0.457435456386098,26,0.4548,0.138241596771698,0.586899585062241
"ATF5","ATF5",0.517410858385956,8,0.4577,0.243344236190886,0.588201239669421
"IKBKG","IKBKG",0.443010955940947,36,0.4613,0.118856993491555,0.590388065843621
"HOXA1","HOXA1",0.494332651008776,11,0.4673,0.178110589272138,0.595615983606557
"PROX1","PROX1",0.495995250955486,10,0.4757,0.1821891488911,0.603036585365854
"IKBKB","IKBKB",0.436145784224717,39,0.477,0.0619594026796246,0.603036585365854
"NR1H4","NR1H4",0.459566611326685,20,0.4818,0.0722268810006543,0.604819758064516
"ZBTB16","ZBTB16",0.50853769831322,8,0.4823,0.205303315149623,0.604819758064516
"MEN1","MEN1",0.485946645769789,11,0.4987,0.130496643060109,0.622
"PPARGC1A","PPARGC1A",0.482906428533726,11,0.5,0.12412389575661,0.622
"SF1","SF1",0.487360947054207,10,0.5054,0.137167887651389,0.625702380952381
"PER3","PER3",0.470513098745679,14,0.507,0.0592086692413628,0.625702380952381
"IRF8","IRF8",0.475744280573149,12,0.5188,0.0846846998377588,0.636692913385827
"CEBPB","CEBPB",0.409558816362746,99,0.52,-0.0470512254809189,0.636692913385827
"HSF1","HSF1",0.435733455042786,29,0.5283,-0.0493218412456249,0.6419234375
"ATF6","ATF6",0.461596823536356,15,0.5284,0.0060581268010132,0.6419234375
"PDX1","PDX1",0.488320195216553,8,0.5389,0.131834204173999,0.652131906614786
"SREBF2","SREBF2",0.446669242489371,20,0.5412,-0.0442988288412994,0.652376744186047
"HNF4A","HNF4A",0.42226839555524,45,0.5444,-0.111009757350353,0.653219615384615
"TBP","TBP",0.453843243339056,16,0.5461,-0.0297858521502338,0.653219615384615
"TFCP2","TFCP2",0.480074321833002,9,0.5525,0.091381890167155,0.657207547169811
"SOX17","SOX17",0.47442351286705,10,0.5545,0.0463552173285199,0.657207547169811
"CIITA","CIITA",0.426175997886675,36,0.5561,-0.131342339232556,0.657207547169811
"SMAD5","SMAD5",0.464442711257777,11,0.56,0.00574984570705831,0.657207547169811
"SMAD9","SMAD9",0.464442711257777,11,0.56,0.00574984570705831,0.657207547169811
"NR1H3","NR1H3",0.478033588909261,8,0.5727,0.0830927790710075,0.668824719101124
"SP4","SP4",0.455207957925804,13,0.5742,-0.0531814644248128,0.668824719101124
"GATA6","GATA6",0.455839184535347,9,0.5947,0.00262639592634693,0.689959259259259
"PITX1","PITX1",0.445271187661605,13,0.5979,-0.102083923767941,0.689959259259259
"NFKBIB","NFKBIB",0.441748032452111,15,0.599,-0.119547883468514,0.689959259259259
"ABL1","ABL1",0.411250343849206,44,0.6077,-0.268437068540339,0.694680586080586
"PML","PML",0.427985148031424,22,0.6086,-0.233045166536181,0.694680586080586
"RARG","RARG",0.412075525927176,43,0.6098,-0.26820193198722,0.694680586080586
"RXRA","RXRA",0.403559154117731,73,0.6121,-0.271155389739067,0.694755839416058
"MBD2","MBD2",0.453062922552701,9,0.6161,-0.0198842379526656,0.696753090909091
"E2F6","E2F6",0.451809270659327,9,0.6269,-0.0474079492368884,0.705195306859206
"BCL6","BCL6",0.417842924005258,29,0.6281,-0.285201732969992,0.705195306859206
"HES1","HES1",0.445189056317685,9,0.6391,-0.0564951994711907,0.712090391459075
"SMAD2","SMAD2",0.409698198157779,35,0.6409,-0.350906026350613,0.712090391459075
"HOXA10","HOXA10",0.428590602896676,15,0.6433,-0.23577506337542,0.712090391459075
"MECP2","MECP2",0.438798330968196,11,0.6434,-0.12699695439253,0.712090391459075
"PAX8","PAX8",0.42367954908667,15,0.6588,-0.277186823898299,0.726548936170213
"STAT6","STAT6",0.39637595723559,61,0.6644,-0.432897126336006,0.730135689045936
"SPI1","SPI1",0.390707633799339,114,0.6696,-0.4402741180891,0.732759649122807
"CREM","CREM",0.409709647774486,25,0.6715,-0.422777666419409,0.732759649122807
"PER1","PER1",0.402391567619758,17,0.7235,-0.456655621353499,0.786743006993007
"CEBPA","CEBPA",0.37948073983815,174,0.7566,-0.697185987758058,0.81986968641115
"FOXP3","FOXP3",0.389392691198704,12,0.7701,-0.432506810173222,0.831601041666667
"PAX5","PAX5",0.381177500078619,22,0.7735,-0.726535452757591,0.832382352941176
"APEX1","APEX1",0.382210072505361,8,0.7802,-0.271380084138199,0.83669724137931
