"","tf","es","lens","pvals","z","qvals"
"PPARD","PPARD",0.452276799161859,46,0.1145,1.22294797157775,0.228266025641026
"PITX1","PITX1",0.553795283026322,13,0.1226,0.919930855780206,0.241404268292683
"BTF3","BTF3",0.595336566598925,9,0.1237,0.824884627473172,0.241404268292683
"GATA3","GATA3",0.454934672366458,40,0.1241,1.13920632605316,0.241404268292683
"MEF2C","MEF2C",0.562752619346961,12,0.1248,0.89280232612082,0.241404268292683
"KLF6","KLF6",0.507692706398247,20,0.1268,1.02680797074115,0.241404268292683
"IRF4","IRF4",0.580931463745618,10,0.1269,0.820556223984078,0.241404268292683
"SOS1","SOS1",0.565092772134704,11,0.1273,0.839893104257051,0.241404268292683
"SOS2","SOS2",0.565092772134704,11,0.1273,0.839893104257051,0.241404268292683
"NF1","NF1",0.542072488781669,14,0.1297,0.917709360776551,0.244464848484848
"MBD2","MBD2",0.590264297702301,9,0.1313,0.803220580929359,0.245989759036145
"RBPJ","RBPJ",0.488619436975914,25,0.1331,1.07449920221237,0.247868862275449
"DNMT1","DNMT1",0.472666773092638,31,0.136,1.10538663518964,0.251761904761905
"MAX","MAX",0.517069757802014,18,0.1383,0.950874061830628,0.254504733727811
"VDR","VDR",0.445878084157101,42,0.1525,1.04293875399907,0.27753567251462
"SREBF1","SREBF1",0.456551071110625,34,0.1526,1.00598539980043,0.27753567251462
"NPM1","NPM1",0.556219303797023,11,0.1544,0.771562852391514,0.279176744186046
"MYBL2","MYBL2",0.587572391696708,8,0.1572,0.72747287505815,0.282596531791908
"ETS2","ETS2",0.413068319371581,75,0.1586,0.998884467973337,0.283454285714286
"SPDEF","SPDEF",0.562607071448356,10,0.1595,0.748626190153361,0.283454285714286
"NFKBIA","NFKBIA",0.44783293546353,39,0.1609,1.00117871839126,0.284317613636364
"ZBTB16","ZBTB16",0.5847052642489,8,0.166,0.703245249257508,0.291672316384181
"CREB5","CREB5",0.491208352494036,20,0.1671,0.865258591077619,0.291955617977528
"BCL3","BCL3",0.559092998072801,10,0.1709,0.722913453189014,0.296926815642458
"SF1","SF1",0.55774763728089,10,0.176,0.707898705814685,0.301703804347826
"STAT6","STAT6",0.418946085178698,61,0.1772,0.937804986850271,0.301703804347826
"NOTCH3","NOTCH3",0.462177891155689,29,0.1774,0.912267987901321,0.301703804347826
"NOTCH2","NOTCH2",0.470194569469526,26,0.1785,0.891962766896815,0.301703804347826
"NOTCH4","NOTCH4",0.470194569469526,26,0.1785,0.891962766896815,0.301703804347826
"NFKBIB","NFKBIB",0.51568717967848,15,0.1809,0.779029771115855,0.304107567567568
"IRF3","IRF3",0.465993683000988,26,0.1855,0.860554442441755,0.310163978494624
"NFATC4","NFATC4",0.495027877019655,18,0.1892,0.775522112881992,0.314658823529412
"NR5A1","NR5A1",0.495268883335884,18,0.1916,0.785079756729712,0.315278306878307
"RARB","RARB",0.424107674329099,53,0.1916,0.891190368638968,0.315278306878307
"EIF2AK2","EIF2AK2",0.528259755793432,12,0.1982,0.680425553602467,0.320778865979381
"ETS1","ETS1",0.371227349185005,212,0.1984,0.825654089583982,0.320778865979381
"MTA1","MTA1",0.470175046617906,24,0.1986,0.818713070611252,0.320778865979381
"CEBPB","CEBPB",0.394217064253279,99,0.1999,0.834091433363396,0.320778865979381
"RARG","RARG",0.431344083487394,43,0.2001,0.847490402477044,0.320778865979381
"KLF2","KLF2",0.536110695336864,11,0.2034,0.669462685067402,0.323376530612245
"RBPJL","RBPJL",0.477681103899845,21,0.2038,0.76672801865043,0.323376530612245
"PPARGC1A","PPARGC1A",0.531672514973835,11,0.2064,0.645921802453175,0.324508080808081
"NR5A2","NR5A2",0.524998830442708,12,0.2066,0.664483762754777,0.324508080808081
"NFIL3","NFIL3",0.538703483331592,10,0.2081,0.630128651664874,0.325221608040201
"WWP1","WWP1",0.485817786740157,18,0.2106,0.710098125755693,0.327483
"EZH2","EZH2",0.434722647047939,40,0.2133,0.807705948644436,0.330031343283582
"CDX1","CDX1",0.562616926301517,8,0.2189,0.615104349586946,0.337019306930693
"MYCN","MYCN",0.423708140885885,47,0.2218,0.766037759165127,0.33980197044335
"MEF2A","MEF2A",0.528245092355107,11,0.2234,0.618950495339181,0.340575490196078
"PIAS3","PIAS3",0.501791858140768,14,0.2267,0.638772190179381,0.343920487804878
"NR1H4","NR1H4",0.472031314804802,20,0.2321,0.676445127043313,0.350403398058252
"PIAS4","PIAS4",0.505352172378656,13,0.2347,0.60656320459895,0.352117788461538
"PAX8","PAX8",0.493614122646086,15,0.2355,0.620272821018039,0.352117788461538
"ABL1","ABL1",0.421398021259018,44,0.24,0.697804025366212,0.357129186602871
"ERCC2","ERCC2",0.551293621151207,8,0.2434,0.56404933592811,0.36046380952381
"PPARG","PPARG",0.377321480717331,135,0.2519,0.667514573615397,0.370852830188679
"TAL1","TAL1",0.51624345837899,11,0.2528,0.555636939751769,0.370852830188679
"CUX1","CUX1",0.54611592822868,8,0.2561,0.553127226288059,0.373930046948357
"HDAC4","HDAC4",0.450986669611682,24,0.2653,0.601518039161577,0.385552803738318
"NFYC","NFYC",0.482153988645521,15,0.2746,0.534578621662367,0.397212093023256
"ESRRA","ESRRA",0.520617969331016,9,0.2834,0.497223800917546,0.408043518518518
"NFYB","NFYB",0.473183981569892,16,0.2874,0.506603088489906,0.411895852534562
"SOX9","SOX9",0.445140488235129,24,0.2971,0.528971274577701,0.42296
"NFYA","NFYA",0.444624419988558,23,0.2985,0.501076206414798,0.42296
"ERG","ERG",0.412795094451931,42,0.2992,0.537394398424941,0.42296
"PIAS2","PIAS2",0.475090223631112,14,0.3077,0.447492926515651,0.433007692307692
"DDIT3","DDIT3",0.432778773494713,27,0.3108,0.479487911553327,0.433726457399103
"IRF5","IRF5",0.499667385398494,10,0.311,0.439790371698079,0.433726457399103
"TFDP1","TFDP1",0.455134632695474,18,0.3203,0.429333391392159,0.444246222222222
"POU3F2","POU3F2",0.462967267923571,16,0.3214,0.431273325634772,0.444246222222222
"FOXA2","FOXA2",0.449831465042857,19,0.327,0.420560327221823,0.449986725663717
"JUNB","JUNB",0.467447690933811,15,0.3299,0.424572571332022,0.451086403508772
"NKX2-5","NKX2-5",0.502917835784894,9,0.3307,0.416486447409362,0.451086403508772
"KLF8","KLF8",0.510073611794139,8,0.3413,0.410505183035348,0.463512227074236
"FOXP3","FOXP3",0.478756814867422,12,0.3443,0.384799303099748,0.46555347826087
"GATA6","GATA6",0.499306503334879,9,0.3476,0.391467753665843,0.467980952380952
"MEN1","MEN1",0.482191686176404,11,0.352,0.36853773156215,0.471038197424893
"YY1","YY1",0.376682559945624,92,0.3529,0.391685372371682,0.471038197424893
"TFCP2","TFCP2",0.497400823320888,9,0.3565,0.37691056484309,0.473809829059829
"E2F4","E2F4",0.351283886443432,287,0.3684,0.328849470298608,0.487542127659574
"ZFP36","ZFP36",0.482076578132105,10,0.3703,0.345718948440766,0.487980084745763
"NFE2L2","NFE2L2",0.433044738132875,21,0.3738,0.314968060606583,0.490513924050633
"NFAT5","NFAT5",0.446079124681284,17,0.3778,0.315939091717804,0.492180082987552
"ATF3","ATF3",0.434320258302788,20,0.3812,0.30322623243202,0.492180082987552
"SIRT1","SIRT1",0.388420803628254,54,0.3813,0.299072581406238,0.492180082987552
"CEBPD","CEBPD",0.404155421062236,35,0.3814,0.289083591268382,0.492180082987552
"SPI1","SPI1",0.36598379908217,114,0.3878,0.278765748711678,0.498371074380165
"ATF1","ATF1",0.370579325842843,92,0.3962,0.254015193047811,0.507070781893004
"MCM2","MCM2",0.46262771733381,11,0.4081,0.272101719107059,0.518544897959184
"IRF2","IRF2",0.489292970951458,8,0.4085,0.31177810564359,0.518544897959184
"FOXM1","FOXM1",0.427504167802033,18,0.427,0.189457246350479,0.538017408906883
"IRF1","IRF1",0.38287491328304,54,0.4273,0.191898466657717,0.538017408906883
"CIITA","CIITA",0.394139125528345,36,0.4372,0.148015741219881,0.548262903225807
"OTX2","OTX2",0.445158622369782,12,0.4584,0.168496759533974,0.572539759036145
"CEBPA","CEBPA",0.351555304177896,174,0.4641,0.0856186309080216,0.5773404
"NR0B1","NR0B1",0.452813461876691,10,0.4723,0.176453522264979,0.585200398406375
"MCM4","MCM4",0.443938315979313,10,0.4859,0.156208856102071,0.596852734375
"RXRA","RXRA",0.36424620267517,73,0.4877,0.0127751215906516,0.596852734375
"MCM5","MCM5",0.444812237233433,10,0.4902,0.158047962921964,0.596852734375
"MCM6","MCM6",0.443318077006155,10,0.4906,0.14605179814666,0.596852734375
"CEBPE","CEBPE",0.440463740359472,11,0.4913,0.147028370841125,0.596852734375
"REST","REST",0.384749648137191,35,0.494,0.0117363884622407,0.59779766536965
"NCOA3","NCOA3",0.436272569567072,9,0.5345,0.0962371599743522,0.639583461538461
"MCM3","MCM3",0.435076407917432,9,0.5347,0.105992489764401,0.639583461538461
"MCM7","MCM7",0.435076407917432,9,0.5347,0.105992489764401,0.639583461538461
"SP100","SP100",0.423212701148843,11,0.544,0.0491012271075735,0.648214559386973
"PIAS1","PIAS1",0.401922446459664,17,0.5466,-0.0528408665267048,0.648826717557252
"IRF7","IRF7",0.3799189063908,27,0.5665,-0.153034124396941,0.669891634980989
"SP4","SP4",0.406263976904287,13,0.5703,-0.0352301209529715,0.671830681818182
"RXRB","RXRB",0.358969504966838,55,0.5755,-0.201135591287076,0.672859022556391
"RXRG","RXRG",0.358969504966838,55,0.5755,-0.201135591287076,0.672859022556391
"E2F6","E2F6",0.422683676120552,9,0.5783,0.0371522246297157,0.673059701492537
"HES1","HES1",0.421828736820987,9,0.58,0.0360037318487356,0.673059701492537
"CREM","CREM",0.374662597500059,25,0.6072,-0.248149072462725,0.702004460966543
"SMAD5","SMAD5",0.401840626089312,11,0.616,-0.096795822371318,0.706922509225092
"SMAD9","SMAD9",0.401840626089312,11,0.616,-0.096795822371318,0.706922509225092
"ESPL1","ESPL1",0.409245215953839,9,0.6208,-0.011999277510892,0.709811764705882
"NFATC3","NFATC3",0.382175663739801,17,0.6247,-0.221467557463315,0.711654578754579
"NANOG","NANOG",0.373464769296626,23,0.6293,-0.280291139947966,0.714278467153285
"ATF5","ATF5",0.405047298538439,8,0.645,-0.0318548441637731,0.729385144927536
"ELF1","ELF1",0.400701397464209,9,0.6473,-0.0750025509091844,0.729385144927536
"PAX2","PAX2",0.396307088106453,9,0.6519,-0.0735070228069138,0.729955035971223
"SATB1","SATB1",0.380257242987563,15,0.6525,-0.247565895934599,0.729955035971223
"POU2F1","POU2F1",0.338012299217118,122,0.6561,-0.411710812654462,0.731351612903226
"POU2F2","POU2F2",0.360274691847531,27,0.6606,-0.393494421258005,0.733737857142857
"RELB","RELB",0.371350193324861,14,0.6868,-0.28620570171522,0.76012384341637
"NFATC2","NFATC2",0.351781735499705,29,0.6904,-0.492319843942151,0.761398581560284
"FOXA1","FOXA1",0.358877249995284,21,0.6972,-0.443426446107849,0.766180918727915
"POU1F1","POU1F1",0.369817278894647,11,0.705,-0.24589210935421,0.772024647887324
"ELF3","ELF3",0.376678821420293,8,0.7183,-0.146991922396803,0.783829122807018
"MSC","MSC",0.364320135471036,11,0.7211,-0.292970328810345,0.784133216783217
"LMO2","LMO2",0.364074898588221,10,0.7326,-0.266737619860179,0.793800689655172
"HNF4A","HNF4A",0.337867432230168,45,0.7358,-0.625667015689546,0.793800689655172
"GATA1","GATA1",0.334895319643145,52,0.7402,-0.650034135313054,0.793800689655172
"HOXA9","HOXA9",0.360520106350687,10,0.7402,-0.282750142032784,0.793800689655172
"SOX2","SOX2",0.337492647612627,24,0.7639,-0.679092111159684,0.816401718213058
"NRF1","NRF1",0.337952636093805,16,0.7822,-0.57279963296858,0.833096575342466
"EGR2","EGR2",0.333678009127133,17,0.7894,-0.618301772158616,0.837895563139932
"RFX1","RFX1",0.335094604786409,15,0.7947,-0.573497316148683,0.840652040816326
"MITF","MITF",0.326907899311778,29,0.8043,-0.817761993023082,0.847923050847458
"RFX5","RFX5",0.327764076553587,15,0.811,-0.615398873424868,0.852097972972973
"HMGA1","HMGA1",0.318039543407845,17,0.8291,-0.745477269510381,0.868182154882155
"RFXANK","RFXANK",0.305895225508958,12,0.8622,-0.653914221157728,0.896803344481605
"RFXAP","RFXAP",0.305895225508958,12,0.8622,-0.653914221157728,0.896803344481605
"PITX2","PITX2",0.301523444911093,12,0.8715,-0.713595269894717,0.903455
"TBX21","TBX21",0.296046923991141,15,0.8829,-0.872153355793428,0.912232225913621
"NR3C2","NR3C2",0.297183607119463,21,0.8862,-1.08792034572656,0.912609933774834
"YBX1","YBX1",0.293895250044902,31,0.9004,-1.25817460154296,0.924172937293729
"NR2F1","NR2F1",0.255451050758971,9,0.916,-0.71476468681141,0.937092105263158
"USF1","USF1",0.297881746223377,130,0.9254,-1.43854547372938,0.943604590163934
"GATA4","GATA4",0.270538116684288,23,0.9331,-1.3726607715476,0.945358957654723
"SREBF2","SREBF2",0.269272231133994,20,0.9332,-1.27665624547289,0.945358957654723
"USF2","USF2",0.291820555723951,92,0.9367,-1.5153277842138,0.945823701298701
"NFATC1","NFATC1",0.265001041751823,24,0.9429,-1.4601718105571,0.949002912621359
"NEUROG3","NEUROG3",-0.307391067268131,10,0.9759,-3.62016965400117,0.979048064516129
"GATA2","GATA2",0.198000468746558,19,0.9873,-1.93602083514201,0.9873
